Node	PosxNode	PosyNode	Name	Lines
1	433743,5	4480432	AV.VALDEMARIN-ALTAIR	161/1
2	433481,3	4480271	AV.VALDEMARIN-LA SALLE	161/1
3	433656	4479857	BLANCA DE CASTILLA-Cº DE LA ZARZUELA	161/1
4	433632	4479467	PLEYADES-ANA TERESA	161/1
5	433613,6	4479245	PLEYADES-AV.OSA MAYOR	161/1
6	433677,3	4479860	BLANCA DE CASTILLA-Cº DE LA ZARZUELA	161/2
7	433502	4480247	AV.VALDEMARIN-LA SALLE	161/2
8	433810,5	4480406	AV.VALDEMARIN-BLANCA DE CASTILLA	161/2
11	442820	4480525	AV.BURGOS-BUGANVILLA	14/1
12	431468	4480424	AV.NUESTRA SRA.DE BEGOÑA-LASARTE	162/1
13	430783	4480560	GUECHO-GOBELAS	162/1
14	430804	4480564	GUECHO-GOBELAS	162/1
16	431172	4480099	AV.VICTORIA-PADRE HUIDOBRO	162/1
18	431137	4480129	AV.VICTORIA-PADRE HUIDOBRO	162/2
19	430685	4480348	ACCESO A LA A6-AV.VICTORIA	162/2
20	430840	4480498	GOBELAS-GUECHO	162/2
21	431175	4480366	MOTRICO-LEQUEITIO	162/2
22	431416	4480326	AMOREBIETA-AV.NUESTRA SRA.DE BEGOÑA	162/2
23	437709	4477961	ESCUELA UNIVERSITARIA DE ESTADISTICA	83/2 133/2 162/2
24	446051	4480263	GTA.MAR DE CRISTAL	125/1 125/2 172/1 172/2 372/1 372/2
28	441636	4479802	Pº CASTELLANA-JUZGADOS	5/2 27/2 147/2 522/2 524/2
29	441681,1	4479809	Pº CASTELLANA-JUZGADOS	5/1 27/1 147/1 522/1 524/1
30	441772	4479932	MATEO INURRIA-PZA.DE CASTILLA	5/1 70/1 107/1 129/1
31	441756	4479957	MATEO INURRIA-PZA.DE CASTILLA	5/2 66/2 70/2 107/2 129/2 174/2
32	441610,7	4479449	Pº CASTELLANA-ROSARIO PINO	5/2 27/2 147/2 522/2 524/2
33	441649,5	4479446	Pº CASTELLANA-ROSARIO PINO	5/1 27/1 147/1 522/1 524/1
34	441580	4479055	PZA.DE CUZCO	5/2 27/2 40/2 147/2 522/2 524/2
35	441632	4479229	PZA.DE CUZCO	5/1 27/1 147/1 522/1 524/1
36	441564,3	4478865	Pº CASTELLANA-GRAL.YAGUE	5/2 27/2 40/2 147/2 522/2 524/2
37	441595,1	4478771	Pº CASTELLANA-GRAL.YAGUE	27/1 40/1 126/1 147/1 522/1 524/1
38	441544,4	4478641	Pº CASTELLANA-RAFAEL SALGADO	27/2 40/2 126/2 147/2
39	441584,1	4478640	Pº CASTELLANA-RAFAEL SALGADO	27/1 40/1 126/1 147/1
40	447446,1	4476712	SAN ROMUALDO-JULIAN CAMARILLO	105/1
