id,name,value
2,Albacete,20.81
3,Alicante/Alacant,16.22
4,Almería,27.65
1,Araba/Álava,10.95
33,Asturias,12.95
5,Ávila,14.45
6,Badajoz,26.18
7,Illes Balears,9.25
8,Barcelona,12.56
48,Bizkaia,13.42
9,Burgos,10.25
10,Cáceres,22.22
11,Cádiz,27.61
39,Cantabria,12.67
12,Castellón/Castelló,15.42
13,Ciudad Real,22.26
14,Córdoba,30.21
15,A Coruña,13.32
16,Cuenca,13.6
20,Gipuzkoa,8.73
17,Girona,12.08
18,Granada,26.95
19,Guadalajara,12.47
21,Huelva,25.92
22,Huesca,6.25
23,Jaén,27.01
24,León,15.88
25,Lleida,11.39
27,Lugo,11.11
28,Madrid,12.35
29,Málaga,20.88
30,Murcia,18.11
31,Navarra,10.52
32,Ourense,15.29
34,Palencia,13.01
35,Las Palmas,23.51
36,Pontevedra,16.87
26,La Rioja,12.62
37,Salamanca,12
38,Santa Cruz de Tenerife,20.04
40,Segovia,10.73
41,Sevilla,23.54
42,Soria,8.29
43,Tarragona,13.5
44,Teruel,10.23
45,Toledo,18.59
46,Valencia/València,18.85
47,Valladolid,13.74
49,Zamora,14.11
50,Zaragoza,11.52
51,Ceuta,22.36
52,Melilla,26.16
